,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,runtime
7559,6415,Three Kings,1999-09-27,"['Action', 'Comedy', 'War']",English,6.6,1796,16.515,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.",114
7560,9945,Vampires,1998-10-30,"['Action', 'Fantasy', 'Horror']",English,6.3,1061,12.815,The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,108
7561,901,City Lights,1931-02-01,"['Comedy', 'Romance', 'Drama']",English,8.3,1858,14.715,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",87
7562,403510,Tom and Jerry: Back to Oz,2016-06-21,"['Family', 'Animation', 'Fantasy', 'Comedy']",English,5.6,46,12.2,"After capturing the good witch, the villainous King Gnome creates havoc throughout Oz as he needs Dorothy's ruby slippers to take control of the Emerald City. So, it is up to Tom and Jerry to save the land of Oz!",80
7563,122044,Offender,2012-08-08,['Thriller'],English,7.0,92,11.827,Justice needs to be served at Britain's most notorious young offenders institute.,102
7564,46420,The Loved Ones,2009-09-13,['Horror'],English,6.7,648,12.066,"When Brent turns down his classmate Lola's invitation to the prom, she concocts a wildly violent plan for revenge.",84
7565,537655,The Bears' Famous Invasion of Sicily,2019-10-09,"['Animation', 'Adventure', 'Family', 'Fantasy']",French,7.3,151,13.077,"Our story starts with Tonio, the son the bears King, being kidnapped by some hunters in the Sicilian mountains. Because of the harshness of a winter that threatens its clan with famine, the Bear King decides to invade the land of men (in the hope of finding his son). Thanks to his powerful army and the help of a wizard, he will succeed at both quests but he will soon find out that bears are not meant to live in the land of men.",82
7566,500852,Miss Bala,2019-02-01,['Action'],English,6.4,469,13.575,"Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength.",104
7567,430231,The Endless,2017-11-05,"['Science Fiction', 'Horror', 'Thriller']",English,6.3,911,12.322,Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,112
7568,12538,Senseless,1998-02-20,"['Comedy', 'Romance']",English,6.1,314,14.065,A student gets his senses enhanced by an experimental drug. But abuse is not an option.,93
7569,1946,eXistenZ,1999-04-14,"['Action', 'Thriller', 'Science Fiction', 'Horror']",English,6.8,1648,12.815,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,97
7570,783,Gandhi,1982-11-30,"['Drama', 'History']",English,7.5,2039,10.564,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",191
